id,serviceId,attrs,ruleKind,unit,setup,fixed,originalRowId,isActive,createdAt,updatedAt
225,190,"{""Size"":""A4"",""Sides"":""Double Sided (D/S)"",""Paper"":""100gsm Matt""}","perUnit",0,0,0,"row_225",true,"2025-09-23T00:06:38.859Z","2025-09-23T00:06:38.859Z"
226,190,"{""Size"":""A4"",""Sides"":""Double Sided (D/S)"",""Paper"":""150gsm Gloss""}","perUnit",0,0,0,"row_226",true,"2025-09-23T00:06:38.861Z","2025-09-23T00:06:38.861Z"
227,190,"{""Size"":""A5"",""Sides"":""Single Sided (S/S)"",""Paper"":""100gsm Matt""}","perUnit",0,0,0,"row_227",true,"2025-09-23T00:06:38.891Z","2025-09-23T00:06:38.891Z"
228,190,"{""Size"":""A5"",""Sides"":""Single Sided (S/S)"",""Paper"":""150gsm Gloss""}","perUnit",0,0,0,"row_228",true,"2025-09-23T00:06:38.893Z","2025-09-23T00:06:38.893Z"
229,190,"{""Size"":""A5"",""Sides"":""Double Sided (D/S)"",""Paper"":""100gsm Matt""}","perUnit",0,0,0,"row_229",true,"2025-09-23T00:06:38.922Z","2025-09-23T00:06:38.922Z"
230,190,"{""Size"":""A5"",""Sides"":""Double Sided (D/S)"",""Paper"":""150gsm Gloss""}","perUnit",0,0,0,"row_230",true,"2025-09-23T00:06:38.925Z","2025-09-23T00:06:38.925Z"
231,190,"{""Size"":""DL"",""Sides"":""Single Sided (S/S)"",""Paper"":""100gsm Matt""}","perUnit",0,0,0,"row_231",true,"2025-09-23T00:06:38.954Z","2025-09-23T00:06:38.954Z"
232,190,"{""Size"":""DL"",""Sides"":""Single Sided (S/S)"",""Paper"":""150gsm Gloss""}","perUnit",0,0,0,"row_232",true,"2025-09-23T00:06:38.956Z","2025-09-23T00:06:38.956Z"
233,190,"{""Size"":""DL"",""Sides"":""Double Sided (D/S)"",""Paper"":""100gsm Matt""}","perUnit",0,0,0,"row_233",true,"2025-09-23T00:06:38.982Z","2025-09-23T00:06:38.982Z"
234,190,"{""Size"":""DL"",""Sides"":""Double Sided (D/S)"",""Paper"":""150gsm Gloss""}","perUnit",0,0,0,"row_234",true,"2025-09-23T00:06:38.985Z","2025-09-23T00:06:38.985Z"
235,190,"{""Size"":""A6"",""Sides"":""Single Sided (S/S)"",""Paper"":""100gsm Matt""}","perUnit",0,0,0,"row_235",true,"2025-09-23T00:06:39.012Z","2025-09-23T00:06:39.012Z"
236,190,"{""Size"":""A6"",""Sides"":""Single Sided (S/S)"",""Paper"":""150gsm Gloss""}","perUnit",0,0,0,"row_236",true,"2025-09-23T00:06:39.014Z","2025-09-23T00:06:39.014Z"
237,190,"{""Size"":""A6"",""Sides"":""Double Sided (D/S)"",""Paper"":""100gsm Matt""}","perUnit",0,0,0,"row_237",true,"2025-09-23T00:06:39.030Z","2025-09-23T00:06:39.030Z"
238,190,"{""Size"":""A6"",""Sides"":""Double Sided (D/S)"",""Paper"":""150gsm Gloss""}","perUnit",0,0,0,"row_238",true,"2025-09-23T00:06:39.033Z","2025-09-23T00:06:39.033Z"
239,191,"{""Size"":""A0"",""Paper"":""190gsm Gloss""}","perUnit",0,0,0,"row_239",true,"2025-09-23T00:15:53.341Z","2025-09-23T00:15:53.341Z"
